LSOA or DZ,Nation,Score,Rank,Decile
S01007511,Scotland,76.98687,1,1
S01009024,Scotland,76.76824,2,1
S01007902,Scotland,76.5618,3,1
S01011831,Scotland,74.89231,4,1
S01009033,Scotland,74.69249,5,1
S01010685,Scotland,74.23934,6,1
S01009023,Scotland,73.89071,7,1
S01012414,Scotland,73.80636,8,1
S01011832,Scotland,73.78384,9,1
S01012637,Scotland,73.76448,10,1
S01007324,Scotland,73.62279,11,1
S01009027,Scotland,73.51603,12,1
S01007903,Scotland,73.48679,13,1
S01012413,Scotland,73.3401,14,1
S01010684,Scotland,73.22489,15,1
S01011827,Scotland,73.21881,16,1
S01010812,Scotland,72.99675,17,1
S01009032,Scotland,72.95945,18,1
S01010689,Scotland,72.95056,19,1
S01010811,Scotland,72.77225,20,1
S01007284,Scotland,72.77184,21,1
S01012640,Scotland,72.61867,22,1
S01010813,Scotland,72.5601,23,1
S01010508,Scotland,72.55431,24,1
S01010814,Scotland,72.37414,25,1
S01010815,Scotland,72.34404,26,1
S01012387,Scotland,72.29889,27,1
S01010505,Scotland,72.16386,28,1
S01012416,Scotland,71.78065,29,1
S01007308,Scotland,71.75307,30,1
S01012409,Scotland,71.73638,31,1
S01007557,Scotland,71.73421,32,1
S01009029,Scotland,71.72301,33,1
S01007310,Scotland,71.70855,34,1
S01011172,Scotland,71.69769,35,1
S01010683,Scotland,71.69618,36,1
S01007329,Scotland,71.65502,37,1
S01010694,Scotland,71.5495,38,1
S01010678,Scotland,71.53494,39,1
S01010810,Scotland,71.49173,40,1
S01012415,Scotland,71.43846,41,1
S01009025,Scotland,71.30384,42,1
S01010687,Scotland,71.20562,43,1
S01007872,Scotland,71.08878,44,1
S01010771,Scotland,71.08371,45,1
S01011830,Scotland,70.94413,46,1
S01007554,Scotland,70.69061,47,1
S01007888,Scotland,70.55437,48,1
S01009028,Scotland,70.45844,49,1
S01010675,Scotland,70.39895,50,1
S01007553,Scotland,69.92269,51,1
S01007352,Scotland,69.43399,52,1
S01011828,Scotland,69.42136,53,1
S01009030,Scotland,69.39785,54,1
S01007501,Scotland,69.39727,55,1
S01007355,Scotland,69.27829,56,1
S01009031,Scotland,69.11978,57,1
S01007556,Scotland,69.05567,58,1
S01007871,Scotland,68.91061,59,1
S01010506,Scotland,68.87065,60,1
S01010772,Scotland,68.54334,61,1
S01007287,Scotland,68.48617,62,1
S01010504,Scotland,68.34029,63,1
S01013121,Scotland,67.92582,64,1
S01009021,Scotland,67.92129,65,1
S01007330,Scotland,67.85338,66,1
S01007312,Scotland,67.84701,67,1
S01007049,Scotland,67.60071,68,1
S01010757,Scotland,67.4237,69,1
S01010668,Scotland,67.31921,70,1
S01012412,Scotland,67.3176,71,1
S01011045,Scotland,67.29392,72,1
S01007512,Scotland,67.15178,73,1
S01010669,Scotland,67.07438,74,1
S01009034,Scotland,67.05217,75,1
S01007500,Scotland,66.98502,76,1
S01011048,Scotland,66.86688,77,1
S01007889,Scotland,66.55196,78,1
S01007877,Scotland,66.52167,79,1
S01010774,Scotland,66.49743,80,1
S01010765,Scotland,66.4065,81,1
S01007379,Scotland,66.19839,82,1
S01007563,Scotland,66.13989,83,1
S01007351,Scotland,65.67418,84,1
S01007552,Scotland,65.65935,85,1
